gnome-control-center 3.26.2+14+g5ac6a0da6-1
gnome-desktop 1:3.26.2-1
gnome-devel-docs 3.26.0-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.26.2-1
gnome-documents 3.26.1-1
gnome-font-viewer 3.26.0-1
gnome-getting-started-docs 3.26.2-1
gnome-keyring 1:3.27.2-1
gnome-klotski 3.22.2+4+ga445c76-1
gnome-logs 3.26.2-1
gnome-mahjongg 3.22.0+1+g55799c1-1
gnome-maps 3.26.2-1
gnome-menus 3.13.3+29+g7f0844e-1
gnome-mines 3.26.0+5+g7f5a1e5-1
gnome-music 3.26.1-1
gnome-nettool 3.8.1+144+gdd04271-1
gnome-nibbles 3.24.0+1+g623d38e-1
gnome-online-accounts 3.26.1-1
gnome-online-miners 3.26.0-1
gnome-photos 3.26.2-1
gnome-robots 3.22.2+3+ge5c72ee-1
gnome-screenshot 3.26.0-1
gnome-session 3.26.1-2
gnome-settings-daemon 3.26.2-1
gnome-shell 3.26.2-1
gnome-shell-extensions 3.26.2-1
gnome-sound-recorder 3.24.0.1+8+g0b8e221-1
gnome-sudoku 3.26.0+6+g0ffe857-1
gnome-system-log 3.9.90+160+g4b07190-1
gnome-system-monitor 3.26.0+1+g97b9578d-1
gnome-taquin 3.26.1-1
gnome-terminal 3.26.2-1
gnome-tetravex 3.22.0+4+g817dbf6-1
gnome-themes-standard 3.22.3+13+ga993fdc0-1
gnome-todo 3.26.2-1
gnome-tweak-tool 3.26.3-1
gnome-user-docs 3.26.2-1
gnome-user-share 3.18.3+2+g7b451ae-1
gnome-video-effects 0.4.3-1
gnome-weather 3.26.0-1
gnupg 2.2.3-1
gnuplot 5.2.2-1
gnutls 3.5.16-1
go 2:1.9.2-2
gobject-introspection 1.54.1-1
gobject-introspection-runtime 1.54.1-1
gom 0.3.3-1
gpgme 1.9.0-3
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.6.0-1
graphite 1:1.3.10-1
graphviz 2.40.1-9
grep 3.1-1
grilo 0.3.4-1
grilo-plugins 0.3.5-1
groff 1.22.3-7
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsfonts 20170829-1
gsimplecal 2.1-2
gsm 1.0.17-1
gsound 1.0.2-2
gspell 1.6.1-1
gssdp 1.0.2-1
gst-plugins-bad 1.12.3-1
gst-plugins-base 1.12.3-1
gst-plugins-base-libs 1.12.3-1
gst-plugins-good 1.12.3-1
gstreamer 1.12.3-1
gtk-doc 1.26+23+g8ad03e1-1
gtk-engine-murrine 0.98.2-2
gtk-theme-arc-git 663.8290cb8-1
gtk-update-icon-cache 3.22.26+47+g3a1a7135a2-3
gtk-vnc 0.7.1-1
gtk2 2.24.31-1
gtk3 3.22.26+47+g3a1a7135a2-3
gtkd 3.7.2-1
gtkglext 1.2.0-10
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview2 2.10.5-3
gtksourceview3 3.24.5-1
gtkspell 2.0.16-5
gtkspell3 3.0.9-1
gts 0.7.6-3
gucharmap 10.0.3-1
guile 2.2.2-1
guile2.0 2.0.14-1
gummi 1:0.6.6-2
gupnp 1.0.2-1
gupnp-av 0.12.10-1
gupnp-dlna 0.10.5-2
gvfs 1.34.1-1
gvfs-afc 1.34.1-1
gvfs-goa 1.34.1-1
gvfs-google 1.34.1-1
gvfs-gphoto2 1.34.1-1
gvfs-mtp 1.34.1-1
gvfs-nfs 1.34.1-1
gvfs-smb 1.34.1-1
gzip 1.8-2
harfbuzz 1.7.1-1
harfbuzz-icu 1.7.1-1
hdparm 9.52-1
hicolor-icon-theme 0.17-1
hitori 3.22.4-1
hspell 1.3-1
http-parser 2.7.1-1
hunspell 1.6.2-1
hwids 20171003-1
hwloc 1.11.8-1
hyphen 2.8.8-1
i2p 0.9.32-1
i3-gaps-git 4.14-1
i3lock-color-git r379.12016c0-1
i3status 2.11-3
iagno 3.26.1-1
iana-etc 20170824-1
icedtea-web 1.7-1
icu 60.1-1
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.9.25-1
imlib2 1.4.10-1
inetutils 1.9.4-5
inputproto 2.3.2-1
intel-tbb 2018_20170726-1
intel-ucode 20171117-1
iproute2 4.14.1-2
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
ipython 6.2.1-2
iso-codes 3.76-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
java-service-wrapper 3.5.32-1
jbig2dec 0.14-1
jdk8-openjdk 8.u144-1
jfsutils 1.1.15-4
jre8-openjdk 8.u144-1
jre8-openjdk-headless 8.u144-1
js 24.2.0-4
js52 52.5.0-1
json-c 0.12.1-1
json-glib 1.4.2-1
jsoncpp 1.8.3-1
jupyter 4.1.0-6
jupyter-nbconvert 5.3.1-1
jupyter-nbformat 4.4.0-1
jupyter-notebook 5.0.0-1
jupyter-widgetsnbextension 1:2.0.0-1
jupyter_console 5.2.0-1
kbd 2.0.4-1
kbproto 1.0.7-1
keepassxc 2.2.2-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.15.2-1
ladspa 1.13-6
lame 3.100-1
lapack 3.8.0-1
latex-beamer-ctan 3.43-1
lcms2 2.8-2
ldb 1.3.0-1
ldc 1:1.6.0-1
ldns 1.7.0-4
less 487-1
lib32-gcc-libs 7.2.0-3
lib32-glibc 2.26-2
libabw 0.1.1-2
libaio 0.3.110-1
libao 1.2.2-1
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.8-1
